城市,值
北京市,838.7175424
天津市,920.0680272
石家庄市,619.6365472
唐山市,533.878011
秦皇岛市,384.4675125
邯郸市,876.9167012
邢台市,641.0359527
保定市,544.5120577
张家口市,126.3689975
承德市,96.73335022
沧州市,547.3993289
廊坊市,746.222153
衡水市,516.0122213
太原市,539.4962793
大同市,224.2911553
阳泉市,289.5371792
长治市,242.9236833
晋城市,234.4827586
朔州市,153.4117647
晋中市,203.1135977
运城市,361.7006275
忻州市,122.4554707
临汾市,213.5635018
吕梁市,185.5077923
呼和浩特市,143.1397649
包头市,80.66839528
乌海市,250.8551881
赤峰市,50.98810278
通辽市,52.99434839
鄂尔多斯市,18.6459796
呼伦贝尔市,9.78705509
巴彦淖尔市,26.71169788
乌兰察布市,49.72477064
沈阳市,580.0933126
大连市,449.2600423
鞍山市,369.2108388
抚顺市,185.4316387
本溪市,173.5203233
丹东市,153.0412034
锦州市,293.5907643
营口市,426.199262
阜新市,178.6576533
辽阳市,365.497076
盘锦市,316.8413356
铁岭市,224.8748556
朝阳市,170.575693
葫芦岛市,264.9769585
长春市,364.6693212
吉林市,149.3991556
四平市,221.8050341
辽源市,227.6264591
通化市,138.3551115
白山市,67.40931163
松原市,130.3997345
白城市,73.76062735
哈尔滨市,179.3654382
齐齐哈尔市,124.7969107
鸡西市,76.78309884
鹤岗市,68.189567
双鸭山市,62.16383035
大庆市,128.658278
伊春市,34.75609756
佳木斯市,71.24510763
七台河市,126.0096931
牡丹江市,64.90328895
黑河市,22.92883409
绥化市,150.2595131
南京市,1058.144831
无锡市,1074.130106
徐州市,888.2277943
常州市,873.7419945
苏州市,813.2147395
南通市,723.2913072
连云港市,701.2475378
淮安市,559.3220339
盐城市,487.2718682
扬州市,696.4041875
镇江市,705.7291667
泰州市,869.1895628
宿迁市,693.3364618
杭州市,459.2654127
宁波市,614.3031785
温州市,684.5582164
嘉兴市,852.4745442
湖州市,458.7628866
绍兴市,539.9202802
金华市,446.9018461
衢州市,291.6902205
舟山市,664.8389308
台州市,601.9900498
丽水市,156.2952243
合肥市,662.2979467
芜湖市,645.5360106
蚌埠市,645.2697026
淮南市,704.989154
马鞍山市,565.5717461
淮北市,795.3301715
铜陵市,571.7151454
安庆市,390.0132959
黄山市,153.9574292
滁州市,335.8981947
阜阳市,1058.509587
宿州市,661.032297
六安市,381.2051
亳州市,771.0362633
池州市,192.8801048
宣城市,226.5897832
福州市,573.6434109
厦门市,1428.571429
莆田市,871.459695
三明市,125.8436752
泉州市,685.4289605
漳州市,404.2520174
南平市,121.7656012
龙岩市,167.5508167
宁德市,263.5301124
南昌市,718.724669
景德镇市,323.0710756
萍乡市,522.0569042
九江市,263.4362565
新余市,393.3291378
赣州市,249.2188095
吉安市,212.438909
宜春市,324.0666345
抚州市,229.7994574
上饶市,346.7065079
济南市,820.2050513
青岛市,725.0487502
淄博市,727.5775356
庄市,926.8185802
东营市,238.9906587
烟台市,471.6913091
潍坊市,566.1896797
济宁市,796.460177
泰安市,738.2118011
威海市,443.1034483
日照市,572.8680724
莱芜市,574.3544078
临沂市,686.4056774
德州市,577.3315312
聊城市,747.566064
滨州市,410.9730849
荷泽市,843.2743727
郑州市,1160.354553
开封市,897.4358974
洛阳市,485.6917826
平顶山市,723.166709
安阳市,849.0182803
鹤壁市,783.6846929
新乡市,791.2193945
焦作市,916.2367969
濮阳市,1038.681948
许昌市,1018.611167
深河市,991.8276374
三门峡市,216.2728659
南阳市,467.0112037
商丘市,933.2959641
信阳市,485.442061
周口市,1052.587576
驻马店市,639.8937936
武汉市,1031.625627
黄石市,595.6796858
十堰市,146.6238486
宜昌市,184.6443712
襄阳市,300.081103
鄂州市,695.4887218
荆门市,236.2141245
孝感市,581.7610063
荆州市,450.0772363
黄冈市,424.4715587
咸宁市,312.7563577
随州市,260.4815276
长沙市,616.9600542
株洲市,358.2859175
湘潭市,577.3072313
衡阳市,523.5636316
邵阳市,397.5036006
岳阳市,382.9586755
常允,332.8382021
张家界市,178.3092091
益阳市,387.987013
郴州市,276.6001448
永州市,289.7574124
怀化市,190.0478747
娄底市,561.1049451
广州市,1248.318536
韶关市,183.0228643
深圳市,2278.417626
珠海市,731.5668203
汕头市,2587.539791
佛山市,1150.605582
江门市,419.6907542
湛江市,639.3726909
茂名市,709.7225869
肇庆市,302.0134228
惠州市,335.7715696
梅州市,345.4144343
汕尾市,731.7574512
河源市,238.2777565
阳江市,377.0739065
清远市,232.7169573
东莞市,943.0894309
中山市,992.1524664
潮州市,877.3045137
揭阳市,1339.031339
云浮市,386.541672
南宁市,346.6103219
柳州市,209.7112437
桂林市,194.4344055
梧州市,280.0095458
北海市,446.2271246
防城港市,158.704713
钦州市,340.5267908
贵港市,529.1454443
玉林市,571.584529
百色市,116.2919176
贺州市,209.3082617
河池市,129.3463974
来宾市,200.5816121
崇左市,145.3957997
海口市,777.6321538
三亚市,317.3777315
州市,285.2941176
重庆市,413.0967695
成都市,1029.647715
自贡市,737.2745948
攀枝花市,145.9262262
泸州市,416.9391759
德阳市,654.7115547
绵阳市,264.717503
广元市,184.4475764
遂宁市,685.8323938
内江市,765.088208
乐山市,275.8783306
南充市,583.4735914
眉山市,483.1932773
宜宾市,415.9445407
广安市,728.8215807
达州市,401.4950567
雅安市,101.6881563
巴中市,299.3573578
资阳市,601.9485038
贵阳市,519.7065771
六盘水市,352.0274359
安顺市,328.0457537
毕节市,346.3816157
铜仁市,246.4749639
昆明市,272.2124399
曲靖市,229.4798687
玉溪市,147.2359791
保山市,134.4400876
昭通市,282.2944896
丽江市,59.84236645
普洱市,57.38038223
临沧市,102.0321761
拉萨市,18.54724489
日喀则市,4.395604396
昌都市,7.011664861
林芝市,1.706848731
山南市,4.516995194
那曲,1.533254588
西安市,900.7118087
铜川市,206.0793405
宝鸡市,208.6438152
咸阳市,481.9782062
渭南市,415.7149383
延安市,63.18006318
汉中市,140.6111603
榆林市,89.46669463
安康市,129.1638341
商洛市,130.1057433
兰州市,248.6355367
嘉峪关市,71.55025554
金昌市,50.58453237
白银市,90.55176874
天水市,260.558941
武威市,58.42891149
张掖市,33.94485904
平凉市,209.4897046
酒泉市,5.892857143
庆阳市,99.56853634
定西市,155.0308532
陇南市,103.4519918
西宁市,272.1177862
海东市,167.311412
银川市,213.8504155
石嘴山市,139.3596987
吴忠市,85.92910849
固原市,115.7354181
中卫市,69.9220541
乌鲁木齐市,161.0095735
克拉玛依市,40.07756949
吐鲁番市,9.031092762
哈密市,4.080978269
辛集市,667.7181914
晋州市,929.0662359
新乐市,985.2914286
遵化市,500.8956407
迁安市,633.0162999
滦州市,558.788705
武安市,468.3383167
南宫市,587.9941928
沙河市,532.6076834
涿州市,934.0745672
定州市,964.0428349
安国市,845.5823045
高碑店市,914.0290323
平泉市,145.4845173
泊头市,625.6987116
任丘市,928.8440367
黄骅市,312.3145631
河间市,682.6822995
霸州市,818.3453865
三河市,1137.250389
深州市,455.9799197
古交市,136.9741162
高平市,496.6326531
怀仁,236.7350081
介休市,592.1309042
永济市,366.2715232
河津而,673.9460371
原平市,201.1209646
侯马市,1093.322727
霍州市,403.7751634
孝义市,523.2579957
汾阳市,367.3155216
霍林郭勒市,142.5196581
满洲里市,370.6903226
牙克石市,11.71869942
扎兰屯市,24.22377122
额尔古纳市,2.760618827
根河市,6.682208896
丰镇市,114.8578251
乌兰浩特市,117.3409091
阿尔山市,6.11000135
二连浩特市,8.513574097
锡林浩特市,13.00162382
新民市,200.6169379
瓦房店市,271.3664562
庄河市,215.9744774
海城市,417.4590803
东港市,249.2188412
凤城市,102.3909338
凌海市,194.2498067
北镇市,298.1044864
盖州市,233.299389
大石桥市,428.7807453
灯塔市,372.7051282
调兵山市,912.2137405
开原市,197.4552502
北票市,126.305499
凌源市,194.0889701
兴城市,253.3625119
榆树市,260.9607385
德惠市,267.4371569
蛟河市,66.22135008
桦甸市,63.624
舒兰市,133.308401
磐石市,131.1647242
公主岭市,250.7905619
双辽市,125.7725088
梅河口市,271.4520422
集安市,63.36126908
临江市,51.25988701
扶余市,152.6572841
洗南市,81.74566474
大安市,78.29801189
延吉市,316.2391304
图们市,96.28247602
敦化市,38.19586853
玮春市,44.06925154
龙井市,69.7342689
和龙市,31.29315447
尚志市,63.03542909
五常市,119.5027955
讷河市,102.2897898
虎林市,16.22948361
密山市,51.28754366
铁力市,53.70169176
同江市,17.11671215
富锦市,45.40831712
抚远市,13.79758558
绥芬河市,164.9454976
海林市,41.98771809
宁安市,56.89525391
穆棱市,44.93096026
东宁市,28.51946045
北安市,58.45065332
五大连池市,29.6974271
安达市,125.7451199
肇东市,198.7048346
海伦市,162.12042
漠河市,3.827599305
江阴市,1276.089159
宜兴市,541.4621933
新沂市,711.1180905
邳州市,932.1822542
h阳市,514.9185668
常熟市,836.9905956
张家港市,941.6413374
昆山市,969.0987124
太仓市,609.8765432
启东市,647.4635569
如皋市,900.8248731
海门市,870.541958
海安市,783.1925676
东台市,345.7493703
仪征市,621.1751663
高邮市,420.4994797
丹阳市,770.1050621
扬中市,850.9036145
句容市,427.4310595
兴化市,649.9791232
靖江市,1004.268293
泰兴市,1007.521368
建德市,220.9092481
余姚市,557.1658894
慈溪市,775.6811168
瑞安市,928.4325926
乐清市,941.0014378
海宁市,808.4785632
平湖市,902.3880866
桐乡市,964.656121
诸暨市,469.6525314
嵊州市,405.9832309
兰溪市,503.4214939
义乌市,740.599095
东阳市,485.2970807
永康市,587.6093601
江山市,305.2937098
温岭市,1137.226257
临海市,535.2732119
玉环市,853.5196078
龙泉市,95.48128693
巢湖市,419.9222874
桐城市,487.5601552
潜山市,346.3635824
天长市,360.7913341
明光市,274.2055319
界首市,1243.622189
宁国市,154.4101327
福清市,811.8753674
永安市,113.0252474
石狮市,1944.348315
晋江市,1581.052419
南安市,845.30583
龙海市,671.5818998
邵武市,108.0314377
武夷山市,87.74134856
建瓯市,130.5943775
漳平市,99.89818548
福安市,372.3038674
福鼎市,393.9862385
乐平市,477.3626263
瑞昌市,326.0979563
共青城市,396.2322581
庐山市,433.0031201
贵溪市,259.6229442
瑞金市,290.903728
井冈山市,131.6756549
丰城市,529.8425308
樟树市,473.5640031
高安市,360.1066011
德兴市,161.5634006
胶州市,648.755287
平度市,437.9770151
莱西市,474.7716837
滕州市,1171.910368
龙口市,705.7036626
莱阳市,495.0317735
莱州市,436.8808907
蓬莱市,399.0515362
招远市,393.0307263
栖霞市,294.5128968
海阳市,336.4623037
青州市,608.5627788
诸城市,520.0762436
寿光市,554.3266332
安丘市,569.9859813
高密市,587.0622135
昌邑市,360.4348894
曲阜市,804.5656442
邹城市,751.7414966
新泰市,708.2233713
肥城市,774.3931088
荣成市,431.5412304
乳山市,328.8204204
乐陵市,617.2335891
禹城市,545.3568548
临清市,882.3165089
邹平市,595.4024
巩义市,811.7564717
荥阳市,750.9098621
新密市,894.2837163
新郑市,894.4992928
登封市,598.8381265
偃师市,946.2914798
舞钢市,533.1700468
汝州市,747.3630006
林州市,552.2953443
卫辉市,631.9254948
辉县市,452.3208769
沁阳市,828.8487395
孟州市,707.2767528
禹州市,907.6705242
长葛市,1201.149231
义马市,1512.196429
灵宝市,248.0039854
邓州市,786.2728814
永城市,832.0333002
项城市,1164.825046
济源市,382.0431806
大冶市,635.5351213
丹江口市,148.543736
宜都市,286.1694915
当阳市,216.1255211
枝江市,353.5556364
老河口市,490.0114068
枣阳市,345.6654457
宜城市,264.6898345
钟祥市,233.7736185
京山市,211.7171717
应城市,591.0426111
安陆市,464.9963045
汉川市,649.8583484
石首市,443.3890469
洪湖市,375.698036
松滋市,381.0702802
麻城市,309.394182
武穴市,660.8635634
赤壁市,309.377249
广水市,347.9674981
恩施市,202.0901824
利川市,199.0659865
仙桃市,607.9491726
潜江市,503.2285429
天门市,613.7345538
浏阳市,298.93336
宁乡市,491.3932005
湘乡市,471.9379766
韶山市,485.194332
耒阳市,53.68791541
常宁市,469.7949219
武冈市,545.5997401
汨罗市,455.8826347
临湘市,315.5084351
津市市,419.8093525
沅江市,345.5364021
资兴市,138.1897436
洪江市,218.3806395
冷水江市,841.3173516
涟源市,599.3117155
吉首市,289.054731
乐昌市,219.070277
南雄市,211.6195185
台山市,295.2128954
开平市,415.7471334
鹤山市,350.0452447
恩平市,295.1617473
廉江市,643.6700384
雷州市,496.2359126
吴川市,1401.865517
高州市,560.4669725
化州市,749.7038608
信宜市,481.3107672
四会市,373.3056215
兴宁市,570.1946988
陆丰市,1235.475357
阳春市,300.9558461
英德市,210.2511537
连州市,204.8287106
普宁市,1527.420988
罗定市,555.3359107
荔浦市,218.3778409
岑溪市,342.2634371
东兴市,261.139219
桂平市,499.6828789
北流市,621.5153722
靖西市,199.3015634
合山市,368.9398907
凭祥市,179.9751938
五指山市,92.58653846
琼海市,303.6789474
文昌市,241.7078471
万宁市,142.3753375
东方市,200.8340669
都江堰市,515.093543
彭州市,564.7051372
邛峡市,475.4255628
崇州市,608.0816514
简阳市,913.0616235
广汉市,1099.859745
什郝市,522.1939024
绵竹市,400.9109149
江油市,317.9790441
隆昌市,969.8035264
峨眉山市,363.2887384
阊中市,442.6624
华签市,768.7306034
万源市,141.5171478
马尔康市,8.174162391
康定市,9.364704858
西昌市,255.4527663
清镇市,388.0908435
盘州市,317.2152367
赤水市,171.8790497
仁怀市,405.4809843
兴义市,307.30674
兴仁市,319.8391451
凯里市,365.4210191
都匀市,220.7308534
福泉市,199.7092199
安宁市,215.010761
宣威市,255.8376012
腾冲市,117.3989735
水富市,244.2863636
楚雄市,120.9081886
个旧市,240.5759294
开远市,146.3392948
蒙自市,190.6059246
弥勒市,136.8131868
文山市,171.5299088
景洪市,61.76864492
大理市,350.2297521
瑞函市,147.3280423
芒市,138.041365
泸水市,63.26718856
香格里拉市,13.22252386
兴平市,1227.567329
彬州市,307.4653716
韩城市,244.9228871
华阴市,297.379437
神木市,59.14145383
华亭市,161.3417936
玉门市,10.99777712
敦煌市,4.619358974
临夏市,3078.741573
合作市,44.64897178
玉树市,7.397313607
格尔木市,1.154683347
德令哈市,2.660902527
茫崖市,1.032792475
灵武市,64.57618305
青铜峡市,121.9126882
昌吉市,47.22787584
阜康市,19.22394185
博乐市,32.57997497
阿拉山口市,1.559800664
库尔勒市,65.03990643
阿克苏市,36.66014768
阿图什市,17.67735744
喀什市,615.2030217
和田市,698.9641026
伊宁市,750.4888305
奎屯市,132.1093083
霍尔果斯市,33.95547407
塔城而,33.97084481
乌苏市,15.03272197
阿勒泰市,18.20210604
石河子市,980.9108696
阿拉尔市,38.20095142
图木舒克市,86.72041937
五家渠市,130.7945946
北屯市,58.23600439
铁门关市,68.26998224
